nuts2,sbr,total_contracts,ref_gdp_c2,running_var,treatment,cycle,cycle_post,educ_share,pop_density,Service_Share,Agriculture_Share,log_pop_density,country,latitude,longitude,dist_brussels_km,dist_capital_km,post_communist,mediterranean,terrain_ruggedness,country_code,gov_effectiveness_norm,unemployment
AT11,0.11250944822373395,121,81.33333333333333,6.333333333333329,0,2,1,28.900000000000002,78.52857142857144,0.6843162921893741,0.0350925178712561,4.376116346134149,AT,48.2082,16.3738,914.8,0.0,0.0,0.0,7.5,AT,0.8653085446666666,5.1
AT12,0.22502969530330996,1221,103.0,28.0,0,2,1,31.271428571428572,87.91428571428571,0.6657345050122805,0.024517369895184406,4.487672823808868,AT,47.0707,15.4395,910.8,144.6,0.0,0.0,7.5,AT,0.8653085446666666,4.4
AT13,0.20030611102300294,1938,162.33333333333334,87.33333333333334,0,2,1,41.18571428571429,4708.957142857143,0.8476537660993877,0.00047888785543137927,8.457434087787991,AT,48.2082,16.3738,914.8,0.0,0.0,0.0,7.5,AT,0.8653085446666666,9.666666667
AT21,0.1516169016608151,510,108.66666666666667,33.66666666666667,0,2,1,29.957142857142856,59.81428571428571,0.6491653114685871,0.016958213914591135,4.107824723778793,AT,47.8095,13.055,715.0,250.8,0.0,0.0,7.5,AT,0.8653085446666666,4.733333333
AT22,0.12294043185436629,619,113.0,38.0,0,2,1,28.214285714285715,76.04285714285713,0.6325874233314451,0.021066897028635644,4.344361853287868,AT,46.6241,14.305,867.0,235.1,0.0,0.0,7.5,AT,0.8653085446666666,4.3
AT31,0.16358963527953074,733,127.0,52.0,0,2,1,29.2,125.04285714285713,0.5896629748020512,0.01573795049878844,4.836621985172745,AT,47.2692,11.4041,649.6,385.9,0.0,0.0,7.5,AT,0.8653085446666666,3.833333333
AT32,0.22791768866702541,581,143.33333333333334,68.33333333333334,0,2,1,31.47142857142857,77.87142857142858,0.7327486575431893,0.009077355821906953,4.367819040234686,AT,47.8095,13.055,715.0,250.8,0.0,0.0,7.5,AT,0.8653085446666666,3.533333333
AT33,0.11608026215457419,578,127.66666666666667,52.66666666666667,0,2,1,28.9,59.542857142857144,0.6988500737353733,0.007936912130487531,4.1033514967788856,AT,47.2692,11.4041,649.6,385.9,0.0,0.0,7.5,AT,0.8653085446666666,3.366666667
AT34,0.28435760667903526,376,130.0,55.0,0,2,1,27.585714285714285,153.37142857142857,0.6026373482524994,0.0058107410226535955,5.039361572354652,AT,47.25,9.5833,552.6,518.8,0.0,0.0,7.5,AT,0.8653085446666666,4.866666667
BG31,0.2531781226903178,249,27.333333333333332,-47.66666666666667,1,2,1,20.37142857142857,40.728571428571435,0.5537334416360052,0.11127746667119932,3.731186060338382,BG,42.6977,23.3219,1698.0,0.0,1.0,0.0,5.5,BG,0.4884269516666666,10.86666667
BG32,0.20913994968839894,426,29.333333333333332,-45.66666666666667,1,2,1,24.52857142857143,54.785714285714285,0.5813447158089619,0.09044447960501263,4.021517820224427,BG,43.2141,27.9147,1965.9,378.1,1.0,0.0,5.5,BG,0.4884269516666666,12.23333333
BG33,0.35950995661262375,207,36.0,-39.0,1,2,1,25.228571428571428,64.62857142857142,0.6539695645946365,0.06870131405323918,4.184011141199685,BG,42.1354,24.7453,1828.2,132.5,1.0,0.0,5.5,BG,0.4884269516666666,11.3
BG34,0.26137231488516344,469,35.0,-40.0,1,2,1,21.714285714285715,53.471428571428575,0.5334007342547151,0.054092287716708036,3.997676317808205,BG,42.5048,27.4626,1980.8,339.6,1.0,0.0,5.5,BG,0.4884269516666666,7.633333333
BG41,0.5649552735932192,838,70.66666666666667,-4.333333333333329,1,2,1,39.528571428571425,104.78571428571429,0.8046619112026596,0.013490004862148535,4.66141548465254,BG,42.6977,23.3219,1698.0,0.0,1.0,0.0,5.5,BG,0.4884269516666666,6.033333333
BG42,0.39334002295126036,268,29.666666666666668,-45.33333333333333,1,2,1,21.97142857142857,64.65714285714286,0.573151168667508,0.06594173111692704,4.184446396919287,BG,42.1438,24.7495,1827.9,132.4,1.0,0.0,5.5,BG,0.4884269516666666,8.266666667
CY00,0.42857142857142855,25,105.66666666666667,30.66666666666667,0,2,1,42.699999999999996,93.71428571428571,0.8486902400175752,0.021162616430498764,4.550864841130549,CY,35.1264,33.4299,2909.9,0.0,0.0,1.0,4.0,CY,0.7556385553333332,4.6
CZ01,0.43237141713791016,4552,190.33333333333334,115.33333333333334,0,2,1,43.92857142857143,2653.7285714285713,0.8424163327685162,0.0037590784522838474,7.884097695466303,CZ,50.0755,14.4378,718.5,0.0,1.0,0.0,4.5,CZ,0.6665135773333334,2.9
CZ02,0.5058054312342583,410,81.0,6.0,0,2,1,22.514285714285712,125.34285714285714,0.5305575032462521,0.027290615944431332,4.838999299927978,CZ,49.9485,14.973,758.8,40.8,1.0,0.0,4.5,CZ,0.6665135773333334,4.4
CZ03,0.48027210884353744,75,72.33333333333333,-2.6666666666666714,1,2,1,19.37142857142857,71.3,0.5438950122014411,0.041412039399781095,4.280824129164719,CZ,49.3933,13.9627,703.5,83.2,1.0,0.0,4.5,CZ,0.6665135773333334,4.5
CZ04,0.25,61,64.66666666666667,-10.333333333333329,1,2,1,14.142857142857142,132.0285714285714,0.5407296635504119,0.023716394620789737,4.89056392792186,CZ,50.6607,13.9775,677.0,72.8,1.0,0.0,4.5,CZ,0.6665135773333334,11.93333333
